iter	Passed	Remaining
0	22	11400
1	33	8223
2	43	7177
3	56	6951
4	70	6965
5	84	6983
6	102	7227
7	115	7102
8	131	7197
9	147	7245
10	161	7178
11	176	7157
12	190	7118
13	200	6963
14	212	6875
15	223	6758
16	233	6638
17	245	6574
18	256	6491
19	266	6404
20	277	6339
21	288	6276
22	299	6206
23	311	6173
24	321	6117
25	333	6070
26	345	6048
27	355	5992
28	365	5940
29	377	5915
30	388	5872
31	398	5829
32	410	5809
33	421	5780
34	431	5738
35	443	5713
36	453	5678
37	464	5650
38	477	5640
39	490	5637
40	500	5606
41	513	5594
42	524	5570
43	535	5545
44	545	5516
45	556	5491
46	566	5464
47	577	5439
48	589	5421
49	600	5402
50	612	5392
51	622	5366
52	635	5357
53	645	5332
54	656	5313
55	668	5299
56	678	5274
57	688	5249
58	700	5233
59	710	5212
60	722	5202
61	738	5214
62	752	5218
63	769	5242
64	789	5282
65	808	5313
66	823	5324
67	838	5329
68	853	5328
69	869	5341
70	882	5333
71	892	5306
72	907	5307
73	917	5283
74	930	5270
75	939	5242
76	951	5227
77	963	5210
78	974	5191
79	984	5169
80	995	5150
81	1006	5131
82	1017	5111
83	1028	5095
84	1038	5070
85	1050	5058
86	1062	5043
87	1073	5024
88	1083	5005
89	1094	4985
90	1105	4968
91	1115	4947
92	1128	4938
93	1140	4925
94	1151	4909
95	1164	4901
96	1174	4881
97	1186	4865
98	1197	4852
99	1208	4835
100	1219	4816
101	1231	4805
102	1242	4789
103	1258	4790
104	1271	4782
105	1284	4772
106	1296	4761
107	1307	4744
108	1316	4723
109	1328	4710
110	1339	4694
111	1349	4676
112	1361	4663
113	1372	4646
114	1381	4625
115	1394	4614
116	1403	4594
117	1413	4576
118	1425	4562
119	1435	4546
120	1446	4529
121	1458	4518
122	1469	4505
123	1480	4489
124	1492	4478
125	1503	4464
126	1514	4448
127	1527	4438
128	1538	4425
129	1549	4410
130	1561	4398
131	1572	4384
132	1584	4373
133	1595	4358
134	1606	4344
135	1618	4331
136	1629	4316
137	1640	4302
138	1652	4291
139	1668	4289
140	1682	4282
141	1697	4279
142	1713	4278
143	1727	4270
144	1740	4261
145	1754	4254
146	1766	4242
147	1777	4226
148	1789	4216
149	1801	4202
150	1815	4195
151	1830	4189
152	1844	4182
153	1855	4169
154	1867	4157
155	1882	4151
156	1899	4150
157	1915	4146
158	1929	4137
159	1945	4133
160	1962	4131
161	1974	4119
162	1987	4109
163	2002	4103
164	2017	4095
165	2031	4088
166	2045	4079
167	2061	4074
168	2074	4062
169	2089	4055
170	2110	4059
171	2121	4046
172	2136	4037
173	2152	4033
174	2172	4035
175	2187	4026
176	2203	4021
177	2219	4015
178	2233	4004
179	2245	3991
180	2259	3982
181	2280	3984
182	2297	3979
183	2309	3966
184	2321	3953
185	2335	3942
186	2349	3932
187	2362	3920
188	2375	3909
189	2391	3901
190	2405	3891
191	2417	3877
192	2431	3867
193	2443	3853
194	2457	3843
195	2468	3829
196	2481	3816
197	2495	3806
198	2509	3795
199	2522	3783
200	2536	3772
201	2548	3759
202	2562	3749
203	2576	3739
204	2589	3726
205	2600	3711
206	2613	3698
207	2626	3687
208	2640	3676
209	2651	3662
210	2661	3645
211	2673	3631
212	2685	3618
213	2695	3602
214	2706	3587
215	2717	3573
216	2728	3557
217	2738	3542
218	2748	3526
219	2759	3511
220	2770	3497
221	2784	3486
222	2799	3476
223	2812	3464
224	2826	3454
225	2837	3440
226	2849	3426
227	2859	3411
228	2870	3396
229	2881	3383
230	2892	3368
231	2903	3353
232	2913	3339
233	2925	3325
234	2935	3310
235	2946	3296
236	2957	3282
237	2967	3267
238	2978	3252
239	2990	3239
240	3000	3224
241	3011	3210
242	3021	3195
243	3032	3181
244	3043	3167
245	3055	3154
246	3066	3141
247	3077	3127
248	3088	3113
249	3100	3100
250	3111	3086
251	3122	3072
252	3134	3060
253	3147	3048
254	3158	3034
255	3169	3021
256	3182	3008
257	3192	2994
258	3202	2979
259	3214	2967
260	3225	2953
261	3236	2939
262	3248	2927
263	3259	2913
264	3269	2899
265	3280	2885
266	3293	2874
267	3306	2862
268	3319	2850
269	3330	2837
270	3342	2824
271	3353	2810
272	3364	2797
273	3377	2785
274	3388	2772
275	3399	2758
276	3410	2745
277	3421	2732
278	3432	2719
279	3445	2707
280	3456	2694
281	3466	2680
282	3479	2667
283	3489	2654
284	3501	2641
285	3511	2627
286	3522	2614
287	3533	2601
288	3544	2588
289	3556	2575
290	3567	2561
291	3577	2548
292	3588	2535
293	3600	2522
294	3612	2510
295	3622	2496
296	3633	2483
297	3644	2470
298	3656	2458
299	3669	2446
300	3680	2433
301	3691	2420
302	3702	2407
303	3712	2393
304	3722	2380
305	3735	2367
306	3745	2354
307	3755	2341
308	3768	2329
309	3778	2316
310	3790	2303
311	3804	2292
312	3819	2281
313	3834	2271
314	3845	2258
315	3855	2244
316	3867	2232
317	3879	2220
318	3889	2206
319	3901	2194
320	3912	2181
321	3922	2168
322	3933	2155
323	3944	2142
324	3955	2129
325	3966	2117
326	3977	2104
327	3987	2091
328	3999	2078
329	4009	2065
330	4021	2053
331	4034	2041
332	4046	2029
333	4058	2016
334	4069	2004
335	4082	1992
336	4096	1981
337	4108	1969
338	4119	1956
339	4132	1944
340	4144	1932
341	4158	1920
342	4168	1908
343	4183	1897
344	4197	1885
345	4210	1874
346	4222	1861
347	4232	1848
348	4244	1836
349	4255	1823
350	4266	1811
351	4277	1798
352	4288	1785
353	4298	1772
354	4309	1760
355	4320	1747
356	4332	1735
357	4346	1724
358	4361	1713
359	4373	1700
360	4384	1688
361	4395	1675
362	4406	1662
363	4416	1650
364	4427	1637
365	4438	1625
366	4450	1612
367	4461	1600
368	4472	1587
369	4484	1575
370	4495	1563
371	4509	1551
372	4521	1539
373	4532	1526
374	4541	1513
375	4553	1501
376	4563	1488
377	4574	1476
378	4587	1464
379	4597	1451
380	4609	1439
381	4621	1427
382	4632	1415
383	4642	1402
384	4653	1390
385	4664	1377
386	4675	1365
387	4687	1353
388	4700	1341
389	4711	1328
390	4722	1316
391	4733	1304
392	4743	1291
393	4755	1279
394	4767	1267
395	4777	1254
396	4791	1243
397	4801	1230
398	4813	1218
399	4824	1206
400	4835	1193
401	4851	1182
402	4865	1171
403	4878	1159
404	4889	1146
405	4901	1134
406	4912	1122
407	4924	1110
408	4935	1098
409	4946	1085
410	4957	1073
411	4967	1061
412	4979	1048
413	4989	1036
414	4999	1024
415	5011	1011
416	5023	999
417	5034	987
418	5046	975
419	5057	963
420	5067	950
421	5080	939
422	5091	926
423	5102	914
424	5115	902
425	5126	890
426	5136	878
427	5148	866
428	5159	853
429	5170	841
430	5181	829
431	5192	817
432	5204	805
433	5217	793
434	5228	781
435	5240	769
436	5250	756
437	5260	744
438	5271	732
439	5282	720
440	5293	708
441	5304	696
442	5314	683
443	5325	671
444	5336	659
445	5347	647
446	5359	635
447	5372	623
448	5388	612
449	5400	600
450	5411	587
451	5422	575
452	5434	563
453	5445	551
454	5455	539
455	5466	527
456	5477	515
457	5488	503
458	5500	491
459	5511	479
460	5522	467
461	5533	455
462	5544	443
463	5555	431
464	5566	418
465	5577	406
466	5588	394
467	5599	382
468	5610	370
469	5621	358
470	5631	346
471	5642	334
472	5653	322
473	5664	310
474	5675	298
475	5685	286
476	5696	274
477	5707	262
478	5717	250
