iter	Passed	Remaining
0	53	69183
1	105	68785
2	151	65615
3	194	63063
4	238	61657
5	283	61129
6	329	60924
7	375	60676
8	419	60246
9	463	59854
10	506	59300
11	549	59007
12	595	58934
13	637	58586
14	681	58413
15	726	58318
16	770	58131
17	817	58197
18	864	58277
19	907	58085
20	952	58032
21	997	57930
22	1038	57663
23	1081	57507
24	1123	57299
25	1166	57152
26	1212	57150
27	1254	56985
28	1295	56797
29	1338	56673
30	1386	56743
31	1429	56663
32	1470	56459
33	1516	56471
34	1558	56344
35	1602	56248
36	1647	56241
37	1692	56213
38	1735	56126
39	1780	56078
40	1822	55973
41	1869	55991
42	1913	55945
43	1955	55807
44	1998	55723
45	2039	55598
46	2083	55552
47	2126	55463
48	2171	55433
49	2214	55359
50	2256	55268
51	2298	55165
52	2340	55076
53	2388	55119
54	2434	55101
55	2477	55043
56	2521	54992
57	2565	54940
58	2608	54857
59	2650	54781
60	2695	54756
61	2738	54686
62	2783	54647
63	2828	54619
64	2875	54636
65	2928	54745
66	2995	55119
67	3058	55407
68	3120	55672
69	3189	56052
70	3256	56363
71	3316	56563
72	3384	56894
73	3450	57165
74	3502	57199
75	3553	57225
76	3611	57364
77	3666	57436
78	3715	57420
79	3759	57337
80	3802	57231
81	3850	57188
82	3894	57105
83	3938	57015
84	3983	56940
85	4036	56986
86	4089	57013
87	4141	57033
88	4200	57155
89	4248	57124
90	4292	57035
91	4338	56972
92	4388	56956
93	4431	56854
94	4474	56759
95	4517	56657
96	4561	56569
97	4607	56513
98	4652	56444
99	4695	56349
100	4738	56252
101	4783	56178
102	4831	56151
103	4874	56054
104	4916	55959
105	4961	55881
106	5005	55806
107	5049	55727
108	5090	55627
109	5131	55518
110	5174	55425
111	5217	55346
112	5260	55257
113	5311	55257
114	5365	55290
115	5407	55194
116	5452	55126
117	5496	55060
118	5539	54976
119	5584	54917
120	5627	54830
121	5670	54748
122	5713	54675
123	5758	54613
124	5810	54620
125	5877	54767
126	5937	54843
127	5998	54927
128	6068	55083
129	6133	55198
130	6199	55319
131	6265	55443
132	6319	55452
133	6375	55480
134	6429	55483
135	6488	55534
136	6540	55518
137	6598	55558
138	6643	55486
139	6686	55403
140	6730	55324
141	6774	55243
142	6822	55202
143	6882	55249
144	6931	55210
145	6975	55135
146	7019	55061
147	7064	54989
148	7107	54902
149	7151	54827
150	7202	54808
151	7263	54855
152	7331	54965
153	7394	55029
154	7464	55140
155	7527	55198
156	7587	55239
157	7651	55304
158	7703	55284
159	7766	55337
160	7837	55444
161	7903	55518
162	7968	55580
163	8035	55661
164	8119	55851
165	8180	55884
166	8239	55903
167	8301	55936
168	8362	55965
169	8439	56099
170	8518	56244
171	8601	56410
172	8684	56575
173	8766	56732
174	8848	56884
175	8915	56939
176	8987	57021
177	9053	57068
178	9115	57087
179	9174	57083
180	9231	57070
181	9278	56997
182	9321	56896
183	9366	56809
184	9412	56730
185	9457	56642
186	9509	56601
187	9553	56507
188	9598	56421
189	9645	56347
190	9689	56262
191	9735	56183
192	9783	56115
193	9839	56092
194	9897	56087
195	9988	56259
196	10074	56408
