iter	Passed	Remaining
0	2	1463
1	5	1356
2	8	1330
3	10	1314
4	13	1299
5	16	1331
6	18	1317
7	21	1304
8	23	1293
9	26	1288
10	28	1277
11	31	1299
12	34	1294
13	37	1284
14	39	1277
15	41	1269
16	44	1263
17	47	1279
18	50	1273
19	52	1265
20	55	1259
21	56	1231
22	59	1224
23	62	1238
24	65	1240
25	67	1235
26	70	1231
27	72	1226
28	75	1222
29	78	1234
30	81	1232
31	84	1230
32	86	1226
33	88	1208
34	90	1204
35	93	1208
36	96	1208
37	99	1205
38	101	1202
39	104	1198
40	106	1195
41	109	1195
42	112	1192
43	114	1189
44	117	1186
45	119	1183
46	122	1179
47	125	1181
48	128	1179
49	130	1175
50	133	1171
51	135	1170
52	138	1166
53	141	1168
54	143	1164
55	146	1160
56	148	1157
57	151	1154
58	154	1151
59	157	1153
60	159	1150
61	162	1146
62	164	1143
63	167	1140
64	170	1138
65	172	1135
66	175	1131
67	177	1128
68	180	1124
69	182	1120
70	185	1118
71	188	1122
72	191	1119
73	194	1117
74	196	1114
75	199	1110
76	200	1100
77	203	1099
78	205	1095
79	208	1092
80	210	1090
81	213	1087
82	216	1085
83	219	1084
84	221	1082
85	224	1079
86	226	1076
87	229	1072
88	232	1073
89	235	1070
90	237	1067
91	239	1064
92	242	1060
93	244	1057
94	247	1055
95	250	1055
96	253	1052
97	255	1049
98	258	1046
99	263	1055
100	266	1052
101	268	1046
102	269	1038
103	271	1035
104	274	1032
105	276	1029
106	279	1028
107	282	1025
108	284	1022
109	287	1019
110	290	1016
111	292	1013
112	295	1012
113	298	1009
114	300	1006
115	303	1003
116	305	1000
117	308	997
118	311	996
119	314	994
120	316	992
121	319	990
122	322	987
123	324	983
124	327	981
125	329	978
126	331	974
127	334	971
128	336	968
129	339	965
130	342	965
131	345	963
132	348	960
133	350	958
134	353	955
135	355	951
136	358	950
137	360	946
138	363	943
139	365	940
140	368	937
141	370	934
142	373	932
143	376	930
144	378	926
145	380	923
146	383	920
147	385	917
148	388	914
149	390	912
150	393	909
151	395	906
152	398	902
153	400	899
154	403	897
155	406	896
156	409	893
157	411	890
158	413	887
159	416	884
160	418	881
161	421	878
162	423	875
163	425	872
164	428	869
165	430	866
166	432	862
167	435	860
168	438	859
169	441	856
170	443	853
171	445	850
172	447	846
173	450	844
174	453	841
175	455	838
176	458	836
177	460	833
178	463	830
179	466	828
180	469	826
181	471	824
182	474	821
183	476	819
184	479	816
185	482	814
186	485	811
187	487	809
188	490	806
189	493	804
190	495	802
191	498	800
192	501	797
193	504	795
194	506	792
195	509	789
196	512	787
197	515	785
198	517	783
199	520	780
200	522	777
201	525	775
202	528	772
203	531	770
204	533	768
205	536	765
206	539	763
207	541	760
208	544	758
209	546	755
210	548	751
211	550	748
212	553	745
213	555	742
214	557	739
215	560	736
216	562	733
217	564	730
218	566	727
219	569	724
220	571	721
221	573	718
222	576	715
223	578	712
224	580	709
225	582	706
226	584	703
227	586	700
228	588	696
229	591	694
230	594	691
231	596	689
232	598	686
233	600	683
234	602	679
235	605	676
236	607	674
237	609	671
238	612	668
239	614	665
240	616	662
241	618	659
242	620	656
243	624	655
244	627	652
245	629	649
246	631	646
247	633	643
248	635	640
249	637	637
250	639	634
251	642	631
252	644	628
253	646	626
254	648	623
255	650	620
256	653	617
257	656	616
258	659	613
259	661	610
260	663	607
261	665	604
262	667	601
263	670	599
264	672	596
265	674	593
266	677	590
267	679	588
268	682	585
269	684	582
270	687	580
271	689	578
272	692	575
273	694	572
274	696	569
275	698	566
276	701	564
277	703	561
278	705	558
279	706	555
280	708	552
281	711	550
282	713	547
283	717	545
284	720	543
285	722	540
286	724	537
287	726	535
288	729	532
289	731	529
290	734	527
291	736	524
292	738	521
293	740	519
294	743	516
295	745	513
296	748	511
297	751	509
298	753	506
299	755	503
300	758	501
301	760	498
302	763	496
303	765	493
304	767	490
305	769	488
306	771	485
307	774	482
308	776	479
309	779	477
310	781	475
311	783	472
312	785	469
313	788	466
314	790	464
315	792	461
316	795	459
317	797	456
318	800	454
319	802	451
320	804	448
321	806	445
322	808	443
323	811	440
324	813	438
325	816	435
326	818	432
327	820	430
328	822	427
329	824	424
330	827	422
331	829	419
332	831	417
333	833	414
334	835	411
335	838	409
336	840	406
337	843	404
338	845	401
339	847	398
340	849	396
341	851	393
342	853	390
343	856	388
344	858	385
345	860	382
346	862	380
347	864	377
348	866	374
349	868	372
350	870	369
351	874	367
352	876	364
353	878	362
354	880	359
355	883	357
356	885	354
357	888	352
358	890	349
359	892	347
360	894	344
361	896	341
362	898	339
363	900	336
364	903	334
365	906	331
366	908	329
367	910	326
368	912	324
369	914	321
370	916	318
371	919	316
372	921	313
373	923	311
374	926	308
375	928	306
376	930	303
377	932	300
378	935	298
379	937	296
380	939	293
381	941	290
382	943	288
383	945	285
384	948	283
385	951	281
386	954	278
387	956	276
388	959	273
389	961	271
390	963	268
391	966	266
392	970	264
393	972	261
394	974	259
395	976	256
396	978	253
397	981	251
398	983	248
399	985	246
400	987	243
401	989	241
402	991	238
403	993	236
404	996	233
405	999	231
406	1001	228
407	1004	226
408	1006	223
409	1008	221
410	1010	218
411	1013	216
412	1015	213
413	1017	211
414	1019	208
415	1021	206
416	1024	203
417	1027	201
418	1031	199
419	1033	196
420	1036	194
421	1038	192
422	1041	189
423	1044	187
424	1046	184
425	1049	182
426	1051	179
427	1054	177
428	1056	174
429	1058	172
430	1062	170
431	1064	167
432	1067	165
433	1069	162
434	1072	160
435	1075	157
436	1077	155
437	1080	152
438	1083	150
439	1085	148
440	1088	145
441	1092	143
442	1095	140
443	1097	138
444	1100	136
445	1102	133
446	1105	131
447	1108	128
448	1110	126
449	1113	123
450	1115	121
451	1118	118
452	1120	116
453	1124	113
454	1126	111
455	1129	108
456	1131	106
457	1134	104
458	1137	101
459	1139	99
460	1142	96
461	1144	94
462	1147	91
463	1150	89
464	1152	86
465	1155	84
466	1158	81
467	1161	79
468	1163	76
469	1166	74
470	1169	72
471	1172	69
472	1174	67
473	1177	64
474	1180	62
475	1185	59
476	1188	57
477	1191	54
478	1193	52
479	1196	49
480	1198	47
481	1201	44
482	1204	42
483	1207	39
484	1209	37
485	1212	34
486	1214	32
487	1218	29
488	1220	27
489	1223	24
490	1226	22
491	1228	19
492	1232	17
493	1234	14
494	1238	12
495	1240	10
496	1243	7
497	1246	5
498	1251	2
499	1254	0
