iter	RMSE
0	0.4766509451
1	0.469044512
2	0.4622487445
3	0.4552992753
4	0.4491270118
5	0.4425225402
6	0.4360199436
7	0.4300054457
8	0.4241617423
9	0.4185788876
10	0.4129367226
11	0.4077900353
12	0.4028029264
13	0.3981657109
14	0.3935930995
15	0.3888023481
16	0.3840564939
17	0.3795779309
18	0.3750979028
19	0.3710565375
20	0.3669247821
21	0.362877127
22	0.358962782
23	0.3554033822
24	0.3519774809
25	0.3486715413
26	0.3456659889
27	0.342691533
28	0.3397810194
29	0.3368785191
30	0.3337759771
31	0.3311156223
32	0.328381758
33	0.3258543143
34	0.3235260045
35	0.3213771177
36	0.319313353
37	0.316754769
38	0.314526048
39	0.3121371905
40	0.30997912
41	0.3079106668
42	0.3059817269
43	0.3042133858
44	0.3025713476
45	0.30087882
46	0.2989339667
47	0.2971455229
48	0.2954487842
49	0.2936581231
50	0.2919958435
51	0.2905003284
52	0.2887861152
53	0.2870755719
54	0.2855747422
55	0.2841557423
56	0.2827753636
57	0.2813676901
58	0.2801769462
59	0.2789448586
60	0.2773322082
61	0.2761981836
62	0.2749142596
63	0.2736016251
64	0.2723169847
65	0.270738706
66	0.269651127
67	0.2684666273
68	0.2673920393
69	0.2663185075
70	0.2653348216
71	0.2640259996
72	0.2629642787
73	0.2617537036
74	0.2608835086
75	0.2598706885
76	0.2590576146
77	0.2581853087
78	0.2572254572
79	0.2561820155
80	0.2553135124
81	0.2544514802
82	0.2535258748
83	0.2527608942
84	0.2519436201
85	0.2511031203
86	0.250476102
87	0.2497540666
88	0.2490366067
89	0.2482013893
90	0.2476719186
91	0.2469168082
92	0.2462118241
93	0.2455282189
94	0.2448799112
95	0.2442471261
96	0.2436281651
97	0.2429693687
98	0.2425576874
99	0.2417154024
100	0.2409068869
101	0.2402617066
102	0.2397393964
103	0.2392723602
104	0.2386151445
105	0.2381414716
106	0.2375213239
107	0.2370201865
108	0.2363302881
109	0.2356647527
110	0.2351623055
111	0.2346314967
112	0.2340988805
113	0.2336832572
114	0.2329802976
115	0.2324955113
116	0.2319817176
117	0.2315707975
118	0.2308855694
119	0.2303659641
120	0.2297507581
121	0.2293342659
122	0.228884518
123	0.2285600719
124	0.2280090217
125	0.2276088025
126	0.2271625819
127	0.2267514568
128	0.2262080807
129	0.2258679335
130	0.2254939794
131	0.2248939149
132	0.2244996861
133	0.2242462491
134	0.2237534793
135	0.223285046
136	0.2227612415
137	0.2224922517
138	0.2220811303
139	0.2217024064
140	0.2213257632
141	0.2209195969
142	0.2204610439
143	0.219911895
144	0.219621174
145	0.2191307794
146	0.2186588196
147	0.2182021152
148	0.2178165329
149	0.2175949695
150	0.217290337
151	0.2168166796
152	0.2163330083
153	0.2159131948
154	0.2156243742
155	0.2153067015
156	0.2151294179
157	0.2148000709
158	0.2143872649
159	0.2140590956
160	0.2136997363
161	0.213480732
162	0.2131878077
163	0.2129641203
164	0.2125330218
165	0.2123579648
166	0.2118865145
167	0.2117197527
168	0.2114777106
169	0.211275
170	0.2110258698
171	0.2105750666
172	0.2102314885
173	0.209955895
174	0.2096977441
175	0.2094334049
176	0.2091219518
177	0.2086959316
178	0.2082582023
179	0.2079415578
180	0.2076846769
181	0.2073519764
182	0.2070679173
183	0.2067226529
184	0.2062114005
185	0.2059020307
186	0.2056307281
187	0.2054249103
188	0.2051022041
189	0.2047499613
190	0.204453525
191	0.2042173162
192	0.2039265242
193	0.2036597855
194	0.2033896259
195	0.2031647326
196	0.203025527
197	0.2027710336
198	0.2023895207
199	0.2022139417
200	0.2020050523
201	0.2016834235
202	0.2013900337
203	0.2011636545
204	0.2007291736
205	0.2005191959
206	0.2001565449
207	0.2000435631
208	0.1997101217
209	0.1995430064
210	0.1992491591
211	0.199093977
212	0.1989674356
213	0.1987053098
214	0.1985007901
215	0.1982449915
216	0.1979799001
217	0.1977747824
218	0.197517853
219	0.1972552359
220	0.1970903522
221	0.1969212142
222	0.1967332751
223	0.1965632453
224	0.19642423
225	0.1962313061
226	0.195945893
227	0.1956648643
228	0.1954699243
229	0.1952604527
230	0.195011192
231	0.1948023219
232	0.1945891355
233	0.1944239691
234	0.1942355217
235	0.1940428602
236	0.1937922203
237	0.1935517652
238	0.1932932033
239	0.1930820515
240	0.1927745688
241	0.1925245988
242	0.1923235331
243	0.1921249639
244	0.1918284372
245	0.1916512006
246	0.1914777289
247	0.1911669241
248	0.1910150631
249	0.1908994976
250	0.1906497064
251	0.1903492179
252	0.190094327
253	0.1898898433
254	0.1896518003
255	0.1893267365
256	0.189125682
257	0.1889792889
258	0.1887494987
