iter	Passed	Remaining
0	47	325256
1	99	341485
2	140	322431
3	182	313047
4	236	324792
5	298	341025
6	342	335933
7	385	330224
8	427	325683
9	471	322976
10	514	320485
11	564	322172
12	607	319906
13	649	317597
14	690	315501
15	737	315508
16	779	314102
17	822	312637
18	881	317560
19	955	326927
20	1002	326702
21	1045	325054
22	1087	323572
23	1131	322426
24	1183	323622
25	1225	322207
26	1268	321130
27	1311	320123
28	1352	318681
29	1398	318477
30	1441	317720
31	1484	316891
32	1525	315858
33	1568	315030
34	1609	314098
35	1651	313151
36	1696	312938
37	1738	312297
38	1781	311707
39	1822	310902
40	1867	310744
41	1910	310271
42	1954	309994
43	1995	309298
44	2037	308824
45	2080	308398
46	2122	307839
47	2166	307593
48	2208	307135
49	2250	306753
50	2306	308149
51	2350	307878
52	2391	307320
53	2434	307026
54	2475	306515
55	2519	306302
56	2562	305975
57	2609	306235
58	2651	305774
59	2695	305715
60	2739	305503
61	2781	305166
62	2823	304847
63	2868	304742
64	2912	304611
65	2954	304319
66	2997	304115
67	3043	304166
68	3085	303822
69	3128	303650
70	3173	303620
71	3220	303765
72	3261	303438
73	3304	303177
74	3346	302906
75	3386	302487
76	3428	302181
77	3477	302521
78	3523	302649
79	3571	302869
80	3615	302782
81	3661	302853
82	3708	302973
83	3753	302981
84	3799	303006
85	3844	303009
86	3894	303351
87	3940	303423
88	3984	303301
89	4027	303161
90	4071	303032
91	4115	302962
92	4163	303133
93	4208	303067
94	4252	303035
95	4296	302917
96	4341	302856
97	4385	302805
98	4431	302829
99	4474	302667
100	4519	302639
101	4567	302810
102	4610	302616
103	4653	302451
104	4699	302518
105	4745	302518
106	4786	302296
107	4832	302310
108	4876	302219
109	4926	302487
110	4981	303062
111	5032	303412
112	5081	303605
113	5132	303893
114	5188	304524
115	5248	305292
116	5305	305943
117	5381	307651
118	5439	308287
119	5492	308683
120	5567	310254
121	5620	310624
122	5681	311382
123	5736	311812
124	5791	312222
125	5849	312785
126	5911	313604
127	5966	314000
128	6022	314418
129	6079	314906
130	6140	315602
131	6203	316396
132	6288	318253
133	6373	320085
134	6456	321832
135	6542	323641
136	6624	325294
137	6719	327495
138	6803	329170
139	6873	330127
140	6937	330764
141	7074	334883
142	7150	336091
143	7211	336550
144	7269	336835
145	7323	336966
146	7404	338334
147	7486	339720
148	7570	341161
149	7634	341718
150	7690	341874
151	7750	342249
152	7807	342457
153	7853	342176
154	7900	341984
155	7947	341758
156	8001	341802
157	8047	341580
158	8098	341514
159	8149	341464
160	8204	341562
161	8259	341686
162	8316	341880
163	8370	341971
164	8417	341757
165	8457	341260
166	8499	340847
167	8541	340440
168	8585	340099
169	8625	339657
170	8669	339330
171	8710	338887
172	8752	338496
173	8793	338088
174	8835	337703
175	8881	337498
176	8922	337100
177	8965	336761
178	9008	336444
179	9051	336094
180	9091	335670
181	9134	335365
182	9176	335017
183	9219	334724
184	9263	334421
185	9305	334110
186	9347	333754
187	9389	333410
188	9432	333133
189	9473	332767
190	9516	332468
191	9557	332122
192	9600	331846
193	9641	331491
194	9685	331255
195	9728	330963
196	9770	330648
197	9811	330334
198	9853	330015
199	9898	329814
200	9939	329482
201	9982	329211
202	10024	328925
203	10066	328626
204	10108	328358
205	10150	328083
206	10193	327812
207	10235	327544
208	10277	327253
209	10319	326992
210	10362	326745
211	10403	326433
212	10446	326208
213	10487	325899
214	10528	325603
215	10570	325340
216	10614	325132
217	10656	324866
218	10698	324630
219	10740	324352
220	10781	324081
221	10823	323819
222	10867	323628
223	10907	323340
224	10949	323086
225	10990	322805
226	11033	322582
227	11075	322345
228	11117	322120
229	11159	321866
230	11204	321721
231	11246	321503
232	11288	321267
233	11329	321007
234	11370	320748
235	11410	320464
236	11451	320208
237	11491	319940
238	11534	319722
239	11575	319473
240	11617	319260
241	11662	319118
242	11703	318884
243	11746	318694
244	11789	318508
245	11833	318342
246	11874	318108
247	11917	317940
248	11958	317685
249	11999	317469
250	12040	317234
251	12084	317081
252	12127	316885
253	12168	316676
254	12216	316629
255	12257	316392
256	12299	316197
257	12340	315969
258	12381	315753
259	12423	315550
260	12465	315371
261	12506	315145
262	12548	314941
263	12589	314729
264	12633	314609
265	12674	314382
266	12718	314236
267	12761	314083
268	12803	313907
269	12847	313752
270	12888	313547
271	12930	313372
272	12970	313156
273	13021	313176
274	13068	313120
275	13110	312934
276	13152	312764
277	13193	312556
278	13234	312366
279	13275	312163
280	13317	311998
281	13358	311798
282	13401	311646
283	13449	311619
284	13491	311437
285	13533	311274
286	13574	311087
287	13617	310937
288	13659	310773
289	13701	310590
290	13745	310478
291	13788	310333
292	13830	310169
293	13871	309994
294	13913	309831
295	13955	309669
296	13997	309504
297	14039	309345
298	14079	309140
299	14121	308985
300	14163	308812
301	14204	308641
302	14244	308450
303	14287	308303
304	14327	308121
305	14368	307939
306	14408	307744
307	14450	307590
308	14491	307413
309	14532	307235
310	14575	307111
311	14619	307007
312	14661	306863
313	14704	306730
314	14750	306660
315	14791	306511
316	14834	306381
317	14875	306217
318	14919	306108
319	14960	305935
320	15002	305799
321	15043	305644
322	15086	305503
323	15127	305343
324	15170	305227
325	15222	305288
326	15271	305283
327	15313	305156
328	15354	304994
329	15403	304990
330	15444	304834
331	15486	304698
332	15528	304549
333	15571	304437
334	15611	304257
335	15653	304116
336	15694	303963
337	15740	303912
338	15782	303781
339	15823	303623
340	15864	303481
341	15906	303344
342	15949	303227
343	15989	303066
344	16031	302919
345	16071	302764
346	16113	302636
347	16155	302495
348	16196	302357
349	16237	302197
350	16277	302040
351	16318	301892
352	16358	301735
353	16400	301595
354	16441	301455
355	16485	301376
356	16527	301252
357	16572	301168
358	16611	301003
359	16654	300894
360	16695	300751
361	16741	300697
362	16788	300673
363	16833	300592
364	16877	300504
365	16923	300457
366	16966	300359
367	17013	300327
368	17066	300401
369	17119	300473
370	17172	300533
371	17226	300625
372	17268	300508
373	17311	300409
374	17353	300279
375	17396	300173
376	17436	300022
377	17480	299948
378	17521	299798
379	17565	299717
380	17607	299607
381	17649	299487
382	17692	299386
383	17735	299278
384	17777	299176
385	17820	299062
386	17864	298995
387	17910	298931
388	17951	298800
389	17998	298779
390	18045	298741
391	18091	298701
392	18150	298863
393	18210	299044
